STATION ID,TIME,LAST UPDATED,NAME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE
21,2020-01-01 17:25:02,2020-01-01 17:17:16,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 17:30:02,2020-01-01 17:27:25,LEINSTER STREET SOUTH,30,12,18,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 17:35:02,2020-01-01 17:27:25,LEINSTER STREET SOUTH,30,12,18,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 17:40:02,2020-01-01 17:37:34,LEINSTER STREET SOUTH,30,12,18,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 17:45:01,2020-01-01 17:44:28,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 17:50:02,2020-01-01 17:49:37,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 17:55:02,2020-01-01 17:49:37,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:00:02,2020-01-01 17:59:46,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:05:02,2020-01-01 18:01:57,LEINSTER STREET SOUTH,30,14,16,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:10:02,2020-01-01 18:01:57,LEINSTER STREET SOUTH,30,14,16,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:15:02,2020-01-01 18:13:36,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:20:02,2020-01-01 18:13:36,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:25:02,2020-01-01 18:20:05,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:30:02,2020-01-01 18:20:05,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:35:02,2020-01-01 18:30:14,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:40:02,2020-01-01 18:38:30,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:45:02,2020-01-01 18:38:30,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:50:02,2020-01-01 18:48:39,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 18:55:02,2020-01-01 18:48:39,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:00:02,2020-01-01 18:58:48,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:05:02,2020-01-01 19:03:12,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:10:02,2020-01-01 19:09:23,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:15:02,2020-01-01 19:09:23,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:20:02,2020-01-01 19:18:05,LEINSTER STREET SOUTH,30,6,24,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:25:02,2020-01-01 19:18:05,LEINSTER STREET SOUTH,30,6,24,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:30:02,2020-01-01 19:28:15,LEINSTER STREET SOUTH,30,6,24,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:35:02,2020-01-01 19:32:59,LEINSTER STREET SOUTH,30,4,26,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:40:03,2020-01-01 19:32:59,LEINSTER STREET SOUTH,30,4,26,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:45:02,2020-01-01 19:43:09,LEINSTER STREET SOUTH,30,4,26,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:50:02,2020-01-01 19:43:09,LEINSTER STREET SOUTH,30,4,26,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 19:55:02,2020-01-01 19:53:18,LEINSTER STREET SOUTH,30,4,26,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 20:00:02,2020-01-01 19:53:18,LEINSTER STREET SOUTH,30,4,26,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 20:05:03,2020-01-01 20:03:27,LEINSTER STREET SOUTH,30,4,26,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 20:10:02,2020-01-01 20:03:27,LEINSTER STREET SOUTH,30,4,26,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 20:15:02,2020-01-01 20:13:36,LEINSTER STREET SOUTH,30,4,26,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 00:05:02,2020-01-03 00:04:04,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 00:10:02,2020-01-03 00:04:04,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 00:15:02,2020-01-03 00:14:13,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 00:20:02,2020-01-03 00:14:13,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 00:25:02,2020-01-03 00:24:23,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 00:30:02,2020-01-03 00:24:23,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 00:35:02,2020-01-03 00:32:18,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
